,Erster Datenpunkt,Letzter Datenpunkt,SIR_beta,SIR_gamma,SIR_I0,SIR_N,SIR_final,SIR_R^2,Gompertz_a,Gompertz_b,Gompertz_c,Gompertz_R^2
16,2020-02-01,2020-03-18,0.2808739763385838,0.012128267354748055,0.8968489765316487,93604.0241544226,93604.0241499855,0.9985795324507077,1207769.1539285476,27.970795107099782,0.04598581122432285,0.9983280598541757
17,2020-02-01,2020-03-19,0.2882630268692703,0.01401724432389178,0.7754122156285397,75805.74306788934,75805.7430333993,0.9989537923200308,501453.5596792604,34.08497654015815,0.05658699910187814,0.9984583435210925
18,2020-02-01,2020-03-20,0.3051488229169896,0.027159345724088013,0.6860695881062201,67870.65073123248,67870.24571118028,0.9988828790546594,385432.8085398417,33.28806439648402,0.05823436321770584,0.9977978958781056
19,2020-02-01,2020-03-21,0.29060152768059827,0.011711430727419014,0.6997223840692275,68573.32727998932,68573.32727938471,0.9992518609241586,302410.55212284357,35.09233059843646,0.06155417397480069,0.9977745589226501
20,2020-02-01,2020-03-22,0.30941103550689797,0.027957031183308303,0.6152524574532555,67805.85633231478,67805.37757901207,0.9994665383209933,293381.41909712163,35.65513760210173,0.061985937025439565,0.9972425058907624
21,2020-02-01,2020-03-23,0.3137784555918254,0.02701678239035382,0.5211155409653491,65715.34461635986,65715.09174884563,0.9996234503299775,240405.72384611424,34.65664671146117,0.06338931396121451,0.9964203254914408
22,2020-02-01,2020-03-24,0.3003289807219996,0.014340621227704188,0.5544458683431831,66346.67997194639,66346.67995414518,0.9995757160171032,187527.68186254264,40.032244682291875,0.06982377859368905,0.9967520310581713
23,2020-02-01,2020-03-25,0.3118222947917229,0.03125343334823741,0.6257178532838972,68808.44973635198,68806.87398963398,0.9995160552132768,208979.6682449346,37.52128689938068,0.06678829865884528,0.9961165685658563
24,2020-02-01,2020-03-26,0.3291078647696629,0.04944303104580158,0.6022678230927618,71133.18985870552,71073.7910764765,0.9993688608659111,169012.87341259807,40.66356161342166,0.07128337626069162,0.9966630803926871
25,2020-02-01,2020-03-27,0.33480894904630276,0.06765247790033467,0.8566578943916967,75727.2160148106,75310.66492329465,0.9992545339352452,158522.86244700348,41.43214846310898,0.0727421218934468,0.9966966462421062
26,2020-02-01,2020-03-28,0.32520221130240534,0.06718726648576205,1.1337068708705589,78822.75173129566,78328.50338631896,0.9990641806180487,158088.31243329283,40.77825281080243,0.07228640878864374,0.9966500039636731
27,2020-02-01,2020-03-29,0.3278339551446423,0.06912794919907246,1.0964984819043067,79578.1712559804,79022.69916668998,0.99887459063076,160143.82304272032,39.97759812353614,0.07164580255326168,0.9964215955549895
28,2020-02-01,2020-03-30,0.33573054682223674,0.08295689589031915,1.2746417825343903,82887.07816353951,81621.7385961284,0.9988075794408534,136191.05930003276,45.62628037013497,0.07765161486170602,0.996815850172485
29,2020-02-01,2020-03-31,0.3432711797282036,0.0928025754078155,1.3135868354723237,86015.7319928085,84060.23866992543,0.9985408181095131,137387.82233022907,43.87347058025199,0.07624568173315155,0.9971095362452274
30,2020-02-01,2020-04-01,0.2983028412670379,0.06768490058534009,2.771823845245445,88423.34466999189,87501.29308308415,0.9983891336602936,135414.43427417777,45.275484126333744,0.07741274909848006,0.9972935765472298
31,2020-02-01,2020-04-02,0.3257374747565174,0.09292703887745961,2.376005282282983,91487.87769289599,88851.62280322603,0.9981909079807946,138111.87181999284,44.88426481279092,0.07652053348859314,0.9974258552457033
32,2020-02-01,2020-04-03,0.3250681539746911,0.10089586766135457,3.1125217318472465,95397.73984416133,91547.4750249169,0.9980047879218542,127982.23920756351,50.45504535426609,0.08038329601213472,0.9979509858758897
33,2020-02-01,2020-04-04,0.31310002636039447,0.098740957539941,4.249045920642357,99667.61953540845,95368.49361329856,0.9977763249820447,125558.92320819016,54.97892468009695,0.08300386817595665,0.9985176230981019
34,2020-02-01,2020-04-05,0.3138758067343011,0.09743816048207282,3.9874285074094526,99516.36771994126,95476.58448551538,0.9975737266487408,132181.52556277966,47.73793128470537,0.07861200934861477,0.9981284514029176
35,2020-02-01,2020-04-06,0.2966724968804405,0.08872112775766137,5.440002667472432,101429.26122208296,97841.16156410259,0.9974804672828613,123963.06471452807,60.39706111865349,0.08518989398311301,0.9989169527830877
36,2020-02-01,2020-04-07,0.29237494335128866,0.09235027805166862,7.005464725673388,106278.79844334681,101624.9249901435,0.9973631893004328,128660.37236693202,54.71952130518355,0.08221934645822832,0.9985436400119642
37,2020-02-01,2020-04-08,0.3236327525233439,0.11809447653227173,5.296176761473101,109008.93620292735,101071.17064441853,0.9972341571547363,123863.5812657513,56.97304966933954,0.0840512502989842,0.9989840792676896
38,2020-02-01,2020-04-09,0.2683265549664838,0.07650232619031128,9.926235126303546,107179.8506491991,104004.28798577048,0.9971280184918195,126549.20082920935,53.88828280958478,0.08208604090455338,0.9988970682458959
39,2020-02-01,2020-04-10,0.3088107742407151,0.11081223447882474,7.1377592784437205,111068.26114710179,103397.38294969934,0.9969825452016575,125128.55141524217,53.78286610598731,0.08270067997537313,0.9989626910459718
40,2020-02-01,2020-04-11,0.2645843885217942,0.074320743457105,10.517459391899104,107629.44087783284,104623.1587224289,0.9967701646545034,120809.69238159739,63.28664507886439,0.08680112085123666,0.9992938436303138
41,2020-02-01,2020-04-12,0.29244084737489345,0.10758023822832534,11.147876501430556,116764.00716532904,107934.32727571712,0.9969972900988447,119139.47083863484,66.59064785501182,0.0882614118147507,0.999278418839847
42,2020-02-01,2020-04-13,0.2926920213372445,0.10782669261945403,11.3105454815593,117489.07246074411,108562.08053044819,0.9969937470008369,126798.28474924243,52.87134138342595,0.08165808552349113,0.9990965556908014
43,2020-02-01,2020-04-14,0.30103416927326426,0.11918626363354193,11.819901030465816,122475.33464041162,110687.46995049476,0.9969808163853323,125797.58731621632,53.36107135944098,0.08202118329100073,0.9991781038507084
44,2020-02-01,2020-04-15,0.328317429458831,0.15003719415806652,12.442318040214369,130728.48326725922,111216.92912253016,0.9970517171127281,125986.02452297826,52.54622287901514,0.08191557370155608,0.9992029221539293
45,2020-02-01,2020-04-16,0.29985611731187617,0.11937153365365669,12.613573480732253,122887.13953669861,110844.79198120088,0.9969600907085618,125783.92034184502,52.98467504178599,0.0817582379795624,0.9991945843445882
46,2020-02-01,2020-04-17,0.28535453933045934,0.10680794152399892,13.858662103272014,121622.163186483,111850.10480106196,0.9969202727811524,125595.3327891552,53.61612814643367,0.08213009975921667,0.9992905184383734
47,2020-02-01,2020-04-18,0.27497039043959975,0.10563925802409965,20.35936159254523,124873.30200468357,113900.78481904158,0.9970254218997262,126122.05416412033,52.68503842524057,0.08180566808837794,0.9993126975560306
48,2020-02-01,2020-04-19,0.27522556728121333,0.10420019083658885,18.484411454185498,124783.56094049275,114337.01675366635,0.9970253523464474,124324.74089694313,58.16116462079784,0.0842936406723301,0.9994670962310767
49,2020-02-01,2020-04-20,0.24972092735883428,0.08097750990107944,21.663462139902876,121367.46392158628,115401.17659799919,0.9969537875802538,125433.1414002148,54.23281869025685,0.08244067352908957,0.9994035061214346
50,2020-02-01,2020-04-21,0.2898740457885739,0.12139179234326807,19.02203323113667,130866.11174605066,115770.77871725905,0.9970668710167078,125838.43024082683,51.97811823873086,0.08146291794472611,0.9993620177402489
51,2020-02-01,2020-04-22,0.28538559016892445,0.11769991904557761,19.839371562447674,129493.71886297452,115239.39504869684,0.9969902173405005,125091.15006805935,55.29179347516494,0.08311059068442637,0.9994776391609934
52,2020-02-01,2020-04-23,0.284734262219073,0.12007302372226784,22.023885835926844,133499.84349517533,117745.1686555235,0.9970386371772106,124306.65216163806,57.623864555738,0.08392231741713518,0.9995161638678773
53,2020-02-01,2020-04-24,0.27637399395807316,0.11446947595150865,24.485839556946296,133057.6562291463,118182.45196206596,0.9970919278037653,124801.1122404062,56.64863240195499,0.08348384012614792,0.9995246829559561
54,2020-02-01,2020-04-25,0.2666409312804546,0.1085098430339484,28.825568309270622,133438.81278881885,119292.63968723606,0.9970929603931575,124855.24252220236,57.65248373339405,0.08382556497924905,0.9995466032637836
55,2020-02-01,2020-04-26,0.2752854756709965,0.11264584357240892,23.919757778206733,132981.46145102047,118666.2146868418,0.9970690324160121,125045.30652062585,54.27871653085603,0.08260487998162656,0.9995125571455575
56,2020-02-01,2020-04-27,0.2497321209141661,0.0896654544656372,29.675749556927062,127941.06849947867,118914.03704756357,0.9970498977696518,126030.7935920456,51.80227344142968,0.08140002261828362,0.999483765912559
57,2020-02-01,2020-04-28,0.26958989239148956,0.10899050901706145,25.733687164248966,133558.66779354375,119701.32084732264,0.997054427074738,126391.78239567057,53.616514072404996,0.08204577960702525,0.9995058904918007
58,2020-02-01,2020-04-29,0.25673863251415,0.10516588290745668,39.08348755725249,135586.9916326752,120880.63103028832,0.9971402669958036,125754.05276163104,54.714871755832256,0.08270681354327988,0.999553458892053
59,2020-02-01,2020-04-30,0.22896043523635476,0.07516879653010848,38.93567647994042,127992.19661118113,121357.86276836209,0.9970825722367611,126238.90517098163,52.805759056293596,0.08172065716852987,0.9995315557085637
60,2020-02-01,2020-05-01,0.25054517299416323,0.09502668820427188,34.11345120464785,131955.87816494118,120765.35719473888,0.9971370468111003,126039.55598681042,53.326733095312555,0.0821415485729415,0.9995536350503337
